cell,group in,group out,legendre,nuclide,mean,std. dev.
2,1,2,P1,Si29,-6.356934731860614e-07,1.5162009947244501e-06
2,1,2,P1,Si28,4.886730213298445e-06,7.95786905310481e-06
2,1,2,P1,Mn55,-3.853752162869119e-05,1.2165938397522803e-05
2,1,2,P1,P31,-1.7658648916640452e-06,1.5175050810089065e-06
2,1,2,P1,S33,1.9841348832044542e-07,2.2907397362158463e-07
2,1,2,P1,S34,0.0,0.0
2,1,2,P1,S32,-8.113021159057084e-07,5.941902542730954e-07
2,1,2,P1,S36,0.0,0.0
2,1,2,P1,Cr52,-0.0002171523575692254,2.7517129484163372e-05
2,1,2,P1,Cr50,-1.1603404023345894e-05,8.859612750363193e-06
2,1,2,P1,Cr54,-6.50762383078136e-06,6.559789003528712e-06
2,1,2,P1,Cr53,-4.016704903060339e-05,1.2544793497847231e-05
2,1,2,P1,Ni62,-1.5990837185124828e-05,4.817614059360755e-06
2,1,2,P1,Ni60,-7.994911669402242e-05,1.2144602248486757e-05
2,1,2,P1,Ni64,-2.4613812609419795e-06,2.2517383125962655e-06
2,1,2,P1,Ni61,-2.943459091109213e-06,3.3808358316191484e-06
2,1,2,P1,Ni58,-0.00017425063613487357,1.872343549673115e-05
2,1,2,P1,Fe54,-0.00010809712172405222,1.3071214299616385e-05
2,1,2,P1,Fe56,-0.0004501914805956109,6.16149053595664e-05
2,1,2,P1,Fe57,-2.1235460029541654e-05,1.1384439617530223e-05
2,1,2,P1,Fe58,1.57782353477741e-06,3.935188447194553e-06
2,1,3,P0,C12,0.0,0.0
2,1,3,P0,C13,0.0,0.0
2,1,3,P0,Si30,0.0,0.0
2,1,3,P0,Si29,0.0,0.0
2,1,3,P0,Si28,5.590429291081342e-07,5.590998376626239e-07
2,1,3,P0,Mn55,5.616696363428494e-07,5.617178628430779e-07
2,1,3,P0,P31,0.0,0.0
2,1,3,P0,S33,0.0,0.0
2,1,3,P0,S34,0.0,0.0
2,1,3,P0,S32,0.0,0.0
