time,Ar41ActOutletFlowrate,Ar41ActTotal
2070.8046875,2.8253843240082e-08,1.6107840031971e-05
2071.8046875,2.8253331191705e-08,1.6107793757076e-05
2072.8046875,2.8252786029931e-08,1.6107748034882e-05
2073.8046875,2.825220874958e-08,1.6107702894177e-05
2074.8046875,2.8251600525903e-08,1.6107658362402e-05
2075.8046875,2.8250962702696e-08,1.6107614465491e-05
2076.8046875,2.8250296779749e-08,1.6107571227725e-05
2077.8046875,2.8249604399682e-08,1.6107528671601e-05
2078.8046875,2.8248887334278e-08,1.6107486817715e-05
2079.8046875,2.8248147470363e-08,1.6107445684662e-05
2080.8046875,2.8247386795341e-08,1.6107405288942e-05
2081.8046875,2.8246607382483e-08,1.6107365644898e-05
2082.8046875,2.8245811376059e-08,1.6107326764648e-05
2083.8046875,2.8245000976429e-08,1.6107288658054e-05
2084.8046875,2.824417842521e-08,1.6107251332686e-05
2085.8046875,2.8243345990621e-08,1.6107214793816e-05
2086.8046875,2.8242505953141e-08,1.610717904442e-05
2087.8046875,2.8241660591574e-08,1.6107144085189e-05
2088.8046875,2.8240812169641e-08,1.6107109914564e-05
2089.8046875,2.8239962924143e-08,1.6107076528777e-05
2090.8046875,2.823911504904e-08,1.6107043921899e-05
2091.8046875,2.8238270690155e-08,1.6107012085914e-05
2092.8046875,2.823743193079e-08,1.6106981010783e-05
2093.8046875,2.8236600783355e-08,1.6106950684537e-05
2094.8046875,2.823577918096e-08,1.6106921093358e-05
2095.8046875,2.8234968970067e-08,1.6106892221684e-05
2096.8046875,2.823417190419e-08,1.610686405231e-05
2097.8046875,2.823338963868e-08,1.6106836566494e-05
2098.8046875,2.8232623726582e-08,1.6106809744071e-05
2099.8046875,2.8231875615546e-08,1.6106783563566e-05
2100.8046875,2.8231146645785e-08,1.6106758002308e-05
2101.3046875,2.8220431539813e-08,1.6106750531898e-05
2102.3046875,2.8224711266579e-08,1.6106731126422e-05
2103.3046875,2.8227577806782e-08,1.6106708744707e-05
2104.3046875,2.822946999794e-08,1.610668436687e-05
2105.3046875,2.8229897944378e-08,1.6106659456067e-05
2106.3046875,2.822941691081e-08,1.6106634915981e-05
2107.3046875,2.8228565728781e-08,1.6106611110333e-05
2108.3046875,2.8227653945092e-08,1.6106588094019e-05
2109.3046875,2.8226812029265e-08,1.6106565792591e-05
2110.3046875,2.8226073009732e-08,1.6106544099564e-05
2111.3046875,2.8225429411435e-08,1.610652291668e-05
2111.5546875,2.8209701810556e-08,1.6106521551156e-05
2112.0546875,2.8207083359323e-08,1.6106519996983e-05
2113.0546875,2.8214686635076e-08,1.6106509094791e-05
2114.0546875,2.8221598388138e-08,1.6106491166733e-05
2115.0546875,2.8225772808364e-08,1.6106468961865e-05
2116.0546875,2.8227022742316e-08,1.6106445403713e-05
2117.0546875,2.8226641905052e-08,1.6106422114832e-05
2118.0546875,2.822566674848e-08,1.6106399680828e-05
2119.0546875,2.8224642399173e-08,1.6106378143698e-05
2120.0546875,2.8223775681277e-08,1.6106357340853e-05
2121.0546875,2.822310170612e-08,1.6106337076385e-05
2121.5546875,2.8212454774427e-08,1.6106332213943e-05
2121.8046875,2.8200143852872e-08,1.6106332841399e-05
2122.3046875,2.8198818099681e-08,1.6106334627924e-05
2123.3046875,2.8210873482121e-08,1.6106325965472e-05
2124.3046875,2.8220487232841e-08,1.610630759432e-05
2125.3046875,2.8225685887878e-08,1.6106283941996e-05
2125.8046875,2.821669401978e-08,1.61062765719e-05
2126.8046875,2.8221680151347e-08,1.610625668379e-05
2127.8046875,2.8224189319394e-08,1.6106234191236e-05
2128.8046875,2.8225554785987e-08,1.6106210237288e-05
2129.8046875,2.8225637680285e-08,1.6106186100184e-05
2130.8046875,2.822506347261e-08,1.6106162430692e-05
2131.8046875,2.8224331848875e-08,1.6106139380608e-05
2132.8046875,2.8223689402901e-08,1.6106116856897e-05
2133.8046875,2.8223214077273e-08,1.6106094690252e-05
2134.8046875,2.8222904255023e-08,1.6106072714325e-05
2135.8046875,2.8222732348654e-08,1.6106050791331e-05
2136.8046875,2.822266915461e-08,1.610602881339e-05
2137.3046875,2.8212303854208e-08,1.6106022958197e-05
2138.3046875,2.8217337540914e-08,1.6106006027918e-05
2139.3046875,2.822100426392e-08,1.6105985325066e-05
2140.3046875,2.8223727323003e-08,1.6105961804356e-05
2141.3046875,2.8225006859555e-08,1.6105936913658e-05
2142.3046875,2.8225391285641e-08,1.6105911548106e-05
2142.8046875,2.8215075981623e-08,1.610590398074e-05
2143.8046875,2.8219995485336e-08,1.6105883764387e-05
2144.8046875,2.8223533951925e-08,1.6105859926185e-05
2145.8046875,2.822618219416e-08,1.6105833366571e-05
2146.3046875,2.8216740690588e-08,1.610582477063e-05
2146.8046875,2.8210582437491e-08,1.6105819182963e-05
2147.8046875,2.8219553428397e-08,1.6105798904185e-05
2148.8046875,2.8226285969563e-08,1.6105771847112e-05
2149.8046875,2.823033744382e-08,1.6105740705101e-05
2150.8046875,2.823185552481e-08,1.6105708012531e-05
2151.8046875,2.8232050454135e-08,1.6105675088275e-05
2152.8046875,2.8231829001641e-08,1.6105642344532e-05
2153.8046875,2.8231646622716e-08,1.6105609740208e-05
2154.8046875,2.8231662622142e-08,1.6105577077139e-05
2155.8046875,2.823189235287e-08,1.610554414361e-05
2156.8046875,2.8232300044117e-08,1.6105510764942e-05
2157.3046875,2.8222181023779e-08,1.6105499106734e-05
2158.3046875,2.8227753279172e-08,1.610547011672e-05
2159.3046875,2.823198727044e-08,1.6105436874761e-05
2159.5546875,2.8217568478507e-08,1.6105432174796e-05
2160.0546875,2.8217131542048e-08,1.6105422893747e-05
2160.5546875,2.8212943401617e-08,1.610541565959e-05
2161.5546875,2.8227624154405e-08,1.6105386468332e-05
2162.5546875,2.823783662786e-08,1.6105347117713e-05
2163.5546875,2.8243302014476e-08,1.61053023681e-05
2164.5546875,2.8245165024281e-08,1.6105255819889e-05
2165.5546875,2.8245330467742e-08,1.610520916313e-05
2166.5546875,2.8245038025246e-08,1.6105162849386e-05
2167.5546875,2.8244855623959e-08,1.6105116765637e-05
2168.5546875,2.8244952210817e-08,1.6105070632958e-05
2169.0546875,2.8234710085359e-08,1.6105052680268e-05
2169.3046875,2.8222605938059e-08,1.6105046722525e-05
2169.8046875,2.8221718354082e-08,1.6105035166607e-05
2170.8046875,2.8234767676901e-08,1.6104999018706e-05
2171.3046875,2.8230953030832e-08,1.6104982855616e-05
2172.3046875,2.8244583984013e-08,1.6104936947781e-05
2173.3046875,2.8251895934599e-08,1.610488386245e-05
2174.3046875,2.8255438659602e-08,1.6104827372248e-05
2175.3046875,2.8256452502059e-08,1.610477000081e-05
2176.3046875,2.8256398436226e-08,1.6104712808688e-05
2177.3046875,2.8256156671311e-08,1.6104655978493e-05
2178.3046875,2.8256092568181e-08,1.610459933042e-05
2179.3046875,2.8256284390744e-08,1.6104542608993e-05
2180.3046875,2.8256693032996e-08,1.6104485599574e-05
2180.8046875,2.8246577867233e-08,1.6104462163456e-05
2181.8046875,2.8252168970912e-08,1.6104409755486e-05
2182.8046875,2.8256406520513e-08,1.6104353247738e-05
2183.8046875,2.825968660545e-08,1.6104293610628e-05
2184.8046875,2.8261496846988e-08,1.6104232320096e-05
2185.8046875,2.8262378885866e-08,1.6104170305786e-05
2186.8046875,2.8262861762655e-08,1.6104107967124e-05
2187.8046875,2.8263246457756e-08,1.6104045402983e-05
2188.8046875,2.8263655563113e-08,1.6103982590434e-05
2189.8046875,2.8264115189762e-08,1.6103919481054e-05
2190.8046875,2.8264612286784e-08,1.6103856039807e-05
2191.8046875,2.8265124872897e-08,1.6103792253754e-05
2192.8046875,2.8265634285365e-08,1.6103728128571e-05
2193.8046875,2.8266128023448e-08,1.6103663682313e-05
2194.3046875,2.825600410575e-08,1.6103636545084e-05
2195.3046875,2.8261436367903e-08,1.6103576944021e-05
2196.3046875,2.8265414901116e-08,1.6103513550431e-05
2196.8046875,2.825698649636e-08,1.6103486096652e-05
2197.8046875,2.826403499288e-08,1.6103424270478e-05
