material,group in,group out,legendre,nuclide,mean,std. dev.
6,5,11,P0,total,0.0,0.0
6,5,11,P1,total,0.0,0.0
6,5,12,P0,total,0.0,0.0
6,5,12,P1,total,0.0,0.0
6,5,13,P0,total,0.0,0.0
6,5,13,P1,total,0.0,0.0
6,5,14,P0,total,0.0,0.0
6,5,14,P1,total,0.0,0.0
6,5,15,P0,total,0.0,0.0
6,5,15,P1,total,0.0,0.0
6,5,16,P0,total,0.0,0.0
6,5,16,P1,total,0.0,0.0
6,5,17,P0,total,0.0,0.0
6,5,17,P1,total,0.0,0.0
6,5,18,P0,total,0.0,0.0
6,5,18,P1,total,0.0,0.0
6,5,19,P0,total,0.0,0.0
6,5,19,P1,total,0.0,0.0
6,5,20,P0,total,0.0,0.0
6,5,20,P1,total,0.0,0.0
6,5,21,P0,total,0.0,0.0
6,5,21,P1,total,0.0,0.0
6,5,22,P0,total,0.0,0.0
6,5,22,P1,total,0.0,0.0
6,5,23,P0,total,0.0,0.0
6,5,23,P1,total,0.0,0.0
6,5,24,P0,total,0.0,0.0
6,5,24,P1,total,0.0,0.0
6,5,25,P0,total,0.0,0.0
6,5,25,P1,total,0.0,0.0
6,6,1,P0,total,0.0,0.0
6,6,1,P1,total,0.0,0.0
6,6,2,P0,total,0.0,0.0
6,6,2,P1,total,0.0,0.0
6,6,3,P0,total,0.0,0.0
6,6,3,P1,total,0.0,0.0
6,6,4,P0,total,0.0,0.0
6,6,4,P1,total,0.0,0.0
6,6,5,P0,total,0.0,0.0
6,6,5,P1,total,0.0,0.0
6,6,6,P0,total,0.2119764008743429,0.0017600043248793926
6,6,6,P1,total,0.06396517858925885,0.0006770247299686332
6,6,7,P0,total,0.02730405181445875,0.0004138041290089812
6,6,7,P1,total,-0.00647305084934312,0.00019819865239264863
6,6,8,P0,total,0.0,0.0
6,6,8,P1,total,0.0,0.0
6,6,9,P0,total,0.0,0.0
6,6,9,P1,total,0.0,0.0
6,6,10,P0,total,0.0,0.0
6,6,10,P1,total,0.0,0.0
6,6,11,P0,total,0.0,0.0
6,6,11,P1,total,0.0,0.0
6,6,12,P0,total,0.0,0.0
6,6,12,P1,total,0.0,0.0
6,6,13,P0,total,0.0,0.0
6,6,13,P1,total,0.0,0.0
6,6,14,P0,total,0.0,0.0
6,6,14,P1,total,0.0,0.0
6,6,15,P0,total,0.0,0.0
6,6,15,P1,total,0.0,0.0
6,6,16,P0,total,0.0,0.0
6,6,16,P1,total,0.0,0.0
6,6,17,P0,total,0.0,0.0
6,6,17,P1,total,0.0,0.0
6,6,18,P0,total,0.0,0.0
6,6,18,P1,total,0.0,0.0
6,6,19,P0,total,0.0,0.0
6,6,19,P1,total,0.0,0.0
6,6,20,P0,total,0.0,0.0
6,6,20,P1,total,0.0,0.0
6,6,21,P0,total,0.0,0.0
6,6,21,P1,total,0.0,0.0
6,6,22,P0,total,0.0,0.0
6,6,22,P1,total,0.0,0.0
6,6,23,P0,total,0.0,0.0
6,6,23,P1,total,0.0,0.0
6,6,24,P0,total,0.0,0.0
6,6,24,P1,total,0.0,0.0
6,6,25,P0,total,0.0,0.0
6,6,25,P1,total,0.0,0.0
6,7,1,P0,total,0.0,0.0
6,7,1,P1,total,0.0,0.0
6,7,2,P0,total,0.0,0.0
6,7,2,P1,total,0.0,0.0
6,7,3,P0,total,0.0,0.0
6,7,3,P1,total,0.0,0.0
6,7,4,P0,total,0.0,0.0
6,7,4,P1,total,0.0,0.0
6,7,5,P0,total,0.0,0.0
6,7,5,P1,total,0.0,0.0
6,7,6,P0,total,0.0,0.0
6,7,6,P1,total,0.0,0.0
6,7,7,P0,total,0.26116880445402246,0.0018985060479308213
6,7,7,P1,total,0.027128140731663378,0.0005557214872466575
6,7,8,P0,total,0.005610635645114964,0.00013089175264588662
6,7,8,P1,total,-0.0021064545130773755,7.768633926003563e-05
6,7,9,P0,total,0.0,0.0
6,7,9,P1,total,0.0,0.0
6,7,10,P0,total,0.0,0.0
6,7,10,P1,total,0.0,0.0
6,7,11,P0,total,0.0,0.0
6,7,11,P1,total,0.0,0.0
6,7,12,P0,total,0.0,0.0
6,7,12,P1,total,0.0,0.0
6,7,13,P0,total,0.0,0.0
6,7,13,P1,total,0.0,0.0
6,7,14,P0,total,0.0,0.0
6,7,14,P1,total,0.0,0.0
6,7,15,P0,total,0.0,0.0
6,7,15,P1,total,0.0,0.0
6,7,16,P0,total,0.0,0.0
6,7,16,P1,total,0.0,0.0
6,7,17,P0,total,0.0,0.0
6,7,17,P1,total,0.0,0.0
6,7,18,P0,total,0.0,0.0
6,7,18,P1,total,0.0,0.0
6,7,19,P0,total,0.0,0.0
6,7,19,P1,total,0.0,0.0
6,7,20,P0,total,0.0,0.0
6,7,20,P1,total,0.0,0.0
6,7,21,P0,total,0.0,0.0
6,7,21,P1,total,0.0,0.0
6,7,22,P0,total,0.0,0.0
6,7,22,P1,total,0.0,0.0
6,7,23,P0,total,0.0,0.0
6,7,23,P1,total,0.0,0.0
6,7,24,P0,total,0.0,0.0
6,7,24,P1,total,0.0,0.0
6,7,25,P0,total,0.0,0.0
6,7,25,P1,total,0.0,0.0
6,8,1,P0,total,0.0,0.0
6,8,1,P1,total,0.0,0.0
6,8,2,P0,total,0.0,0.0
6,8,2,P1,total,0.0,0.0
6,8,3,P0,total,0.0,0.0
6,8,3,P1,total,0.0,0.0
6,8,4,P0,total,0.0,0.0
6,8,4,P1,total,0.0,0.0
6,8,5,P0,total,0.0,0.0
6,8,5,P1,total,0.0,0.0
6,8,6,P0,total,0.0,0.0
6,8,6,P1,total,0.0,0.0
6,8,7,P0,total,0.0,0.0
6,8,7,P1,total,0.0,0.0
6,8,8,P0,total,0.25507351957027374,0.0036799913171730444
6,8,8,P1,total,0.007427392506619318,0.0008905549868850674
6,8,9,P0,total,0.0009211914272160258,0.00010366074867488258
6,8,9,P1,total,-0.0003183629862297223,5.8326610582267327e-05
6,8,10,P0,total,0.0,0.0
6,8,10,P1,total,0.0,0.0
6,8,11,P0,total,0.0,0.0
6,8,11,P1,total,0.0,0.0
6,8,12,P0,total,0.0,0.0
6,8,12,P1,total,0.0,0.0
6,8,13,P0,total,0.0,0.0
6,8,13,P1,total,0.0,0.0
6,8,14,P0,total,0.0,0.0
6,8,14,P1,total,0.0,0.0
6,8,15,P0,total,0.0,0.0
6,8,15,P1,total,0.0,0.0
6,8,16,P0,total,0.0,0.0
6,8,16,P1,total,0.0,0.0
6,8,17,P0,total,0.0,0.0
6,8,17,P1,total,0.0,0.0
6,8,18,P0,total,0.0,0.0
6,8,18,P1,total,0.0,0.0
6,8,19,P0,total,0.0,0.0
6,8,19,P1,total,0.0,0.0
6,8,20,P0,total,0.0,0.0
6,8,20,P1,total,0.0,0.0
6,8,21,P0,total,0.0,0.0
6,8,21,P1,total,0.0,0.0
6,8,22,P0,total,0.0,0.0
6,8,22,P1,total,0.0,0.0
6,8,23,P0,total,0.0,0.0
6,8,23,P1,total,0.0,0.0
6,8,24,P0,total,0.0,0.0
6,8,24,P1,total,0.0,0.0
6,8,25,P0,total,0.0,0.0
6,8,25,P1,total,0.0,0.0
6,9,1,P0,total,0.0,0.0
6,9,1,P1,total,0.0,0.0
6,9,2,P0,total,0.0,0.0
6,9,2,P1,total,0.0,0.0
6,9,3,P0,total,0.0,0.0
6,9,3,P1,total,0.0,0.0
6,9,4,P0,total,0.0,0.0
6,9,4,P1,total,0.0,0.0
6,9,5,P0,total,0.0,0.0
6,9,5,P1,total,0.0,0.0
6,9,6,P0,total,0.0,0.0
6,9,6,P1,total,0.0,0.0
6,9,7,P0,total,0.0,0.0
6,9,7,P1,total,0.0,0.0
6,9,8,P0,total,0.0,0.0
6,9,8,P1,total,0.0,0.0
6,9,9,P0,total,0.07050377496274764,0.003972986398867964
6,9,9,P1,total,0.010873759764635801,0.0016854544782361756
6,9,10,P0,total,0.02218575672050152,0.001975450340000525
6,9,10,P1,total,-0.007973579118970186,0.0009684041125514936
6,9,11,P0,total,0.0,0.0
6,9,11,P1,total,0.0,0.0
6,9,12,P0,total,0.0,0.0
6,9,12,P1,total,0.0,0.0
6,9,13,P0,total,0.0,0.0
6,9,13,P1,total,0.0,0.0
6,9,14,P0,total,0.0,0.0
6,9,14,P1,total,0.0,0.0
6,9,15,P0,total,0.0,0.0
6,9,15,P1,total,0.0,0.0
6,9,16,P0,total,0.0,0.0
6,9,16,P1,total,0.0,0.0
6,9,17,P0,total,0.0,0.0
6,9,17,P1,total,0.0,0.0
6,9,18,P0,total,0.0,0.0
6,9,18,P1,total,0.0,0.0
6,9,19,P0,total,0.0,0.0
6,9,19,P1,total,0.0,0.0
6,9,20,P0,total,0.0,0.0
6,9,20,P1,total,0.0,0.0
6,9,21,P0,total,0.0,0.0
6,9,21,P1,total,0.0,0.0
6,9,22,P0,total,0.0,0.0
6,9,22,P1,total,0.0,0.0
6,9,23,P0,total,0.0,0.0
6,9,23,P1,total,0.0,0.0
6,9,24,P0,total,0.0,0.0
6,9,24,P1,total,0.0,0.0
6,9,25,P0,total,0.0,0.0
