material,group in,group out,legendre,nuclide,mean,std. dev.
5,6,3,P0,total,0.0,0.0
5,6,3,P1,total,0.0,0.0
5,6,4,P0,total,0.0,0.0
5,6,4,P1,total,0.0,0.0
5,6,5,P0,total,0.0,0.0
5,6,5,P1,total,0.0,0.0
5,6,6,P0,total,8.525556891142225e-05,2.1924139985634833e-06
5,6,6,P1,total,2.3256051628753114e-05,9.743844418781635e-07
5,6,7,P0,total,2.5265747820210032e-05,7.611461884812426e-07
5,6,7,P1,total,-4.930066990136759e-06,3.672442408955286e-07
5,6,8,P0,total,0.0,0.0
5,6,8,P1,total,0.0,0.0
5,6,9,P0,total,0.0,0.0
5,6,9,P1,total,0.0,0.0
5,6,10,P0,total,0.0,0.0
5,6,10,P1,total,0.0,0.0
5,6,11,P0,total,0.0,0.0
5,6,11,P1,total,0.0,0.0
5,6,12,P0,total,0.0,0.0
5,6,12,P1,total,0.0,0.0
5,6,13,P0,total,0.0,0.0
5,6,13,P1,total,0.0,0.0
5,6,14,P0,total,0.0,0.0
5,6,14,P1,total,0.0,0.0
5,6,15,P0,total,0.0,0.0
5,6,15,P1,total,0.0,0.0
5,6,16,P0,total,0.0,0.0
5,6,16,P1,total,0.0,0.0
5,6,17,P0,total,0.0,0.0
5,6,17,P1,total,0.0,0.0
5,6,18,P0,total,0.0,0.0
5,6,18,P1,total,0.0,0.0
5,6,19,P0,total,0.0,0.0
5,6,19,P1,total,0.0,0.0
5,6,20,P0,total,0.0,0.0
5,6,20,P1,total,0.0,0.0
5,6,21,P0,total,0.0,0.0
5,6,21,P1,total,0.0,0.0
5,6,22,P0,total,0.0,0.0
5,6,22,P1,total,0.0,0.0
5,6,23,P0,total,0.0,0.0
5,6,23,P1,total,0.0,0.0
5,6,24,P0,total,0.0,0.0
5,6,24,P1,total,0.0,0.0
5,6,25,P0,total,0.0,0.0
5,6,25,P1,total,0.0,0.0
5,7,1,P0,total,0.0,0.0
5,7,1,P1,total,0.0,0.0
5,7,2,P0,total,0.0,0.0
5,7,2,P1,total,0.0,0.0
5,7,3,P0,total,0.0,0.0
5,7,3,P1,total,0.0,0.0
5,7,4,P0,total,0.0,0.0
5,7,4,P1,total,0.0,0.0
